solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,error,instance,group,n_landmarks,time_budget,run_id
SA-Boltzmann,300.0,0.15169659999082796,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,0
SA-Boltzmann,300.0,0.11227910002344288,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,1
SA-Boltzmann,300.0,0.18012309999903664,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,2
SA-Boltzmann,300.0,0.12746009998954833,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,3
SA-Boltzmann,300.0,0.14881340001011267,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,4
SA-Cauchy,310.0,0.1514352000085637,True,10,1221.5262483505,13.89,,c102,Solomon-100,100,1236,0
SA-Cauchy,310.0,0.11201599999913014,True,10,1235.6444508367174,13.89,,c102,Solomon-100,100,1236,2
SA-Cauchy,300.0,0.16591560002416372,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,1
SA-Cauchy,300.0,0.10100220001186244,True,9,1235.6444508367174,16.67,,c102,Solomon-100,100,1236,3
SA-Cauchy,310.0,0.1794475000060629,True,10,1235.6444508367174,13.89,,c102,Solomon-100,100,1236,4
Tabu,310.0,1.1025263000046834,True,9,1235.0338800223512,13.89,,c102,Solomon-100,100,1236,0
Tabu,310.0,1.2025197000184562,True,9,1220.9217582752638,13.89,,c102,Solomon-100,100,1236,1
Tabu,320.0,1.1089024000102654,True,10,1232.3336979387557,11.11,,c102,Solomon-100,100,1236,2
Tabu,350.0,1.2049145000055432,True,10,1231.8910131008465,2.78,,c102,Solomon-100,100,1236,3
Tabu,290.0,1.0807724999904167,True,9,1235.3102817972206,19.44,,c102,Solomon-100,100,1236,4
Genetic-Tailored,360.0,10.280843399988953,True,11,1219.6018855161656,0.0,,c102,Solomon-100,100,1236,0
GRASP,360.0,18.610645900014788,True,11,1212.2420737950777,0.0,,c102,Solomon-100,100,1236,0
GRASP,360.0,19.19901650000247,True,11,1223.740202639675,0.0,,c102,Solomon-100,100,1236,1
GRASP,360.0,19.05726619999041,True,11,1210.4148696690443,0.0,,c102,Solomon-100,100,1236,2
GRASP,360.0,19.004500299983192,True,11,1220.571304560358,0.0,,c102,Solomon-100,100,1236,4
GRASP,360.0,20.109379900008207,True,11,1213.8338097316687,0.0,,c102,Solomon-100,100,1236,3
Genetic-Tailored,350.0,12.64677359999041,True,10,1232.1474220927364,2.78,,c102,Solomon-100,100,1236,2
Genetic-Tailored,350.0,9.376748700015014,True,10,1232.1474220927364,2.78,,c102,Solomon-100,100,1236,3
Genetic-Score,200.0,36.99323240001104,True,9,1234.464159893069,37.5,,c101,Solomon-100,100,1236,0
Greedy-Score,310.0,0.010401100007584319,True,8,1184.9732737557338,22.5,,c103,Solomon-100,100,1236,0
Greedy-Ratio,240.0,0.00987939999322407,True,9,1169.075804065706,40.0,,c103,Solomon-100,100,1236,0
Genetic-Tailored,360.0,26.119177299988223,True,11,1210.6534327612935,0.0,,c102,Solomon-100,100,1236,1
Genetic-Tailored,360.0,13.400330199976452,True,11,1222.429274070113,0.0,,c102,Solomon-100,100,1236,4
Genetic-Score,190.0,41.25995700000203,True,9,1234.969169229841,40.62,,c101,Solomon-100,100,1236,1
Genetic-Score,220.0,37.63567630000762,True,10,1234.9783631940354,31.25,,c101,Solomon-100,100,1236,3
Genetic-Score,220.0,42.28142039998784,True,10,1234.9783631940354,31.25,,c101,Solomon-100,100,1236,4
SA-Boltzmann,320.0,0.11726949998410419,True,9,1184.9732737557338,20.0,,c103,Solomon-100,100,1236,0
SA-Boltzmann,310.0,0.09919470001477748,True,8,1184.9732737557338,22.5,,c103,Solomon-100,100,1236,1
SA-Boltzmann,310.0,0.0928692999877967,True,8,1184.9732737557338,22.5,,c103,Solomon-100,100,1236,2
SA-Boltzmann,310.0,0.0992755000188481,True,8,1184.9732737557338,22.5,,c103,Solomon-100,100,1236,3
SA-Boltzmann,320.0,0.1090769000002183,True,9,1195.1801818664799,20.0,,c103,Solomon-100,100,1236,4
SA-Cauchy,340.0,0.12514809999265708,True,10,1225.6141148081226,15.0,,c103,Solomon-100,100,1236,0
SA-Cauchy,310.0,0.08616549998987466,True,8,1184.9732737557338,22.5,,c103,Solomon-100,100,1236,1
SA-Cauchy,340.0,0.11913760000606999,True,10,1199.4786812941575,15.0,,c103,Solomon-100,100,1236,2
SA-Cauchy,330.0,0.10413369999150746,True,10,1226.5927064821947,17.5,,c103,Solomon-100,100,1236,3
SA-Cauchy,330.0,0.10703640000429004,True,10,1230.6037546656244,17.5,,c103,Solomon-100,100,1236,4
Tabu,380.0,1.3047713999985717,True,10,1201.2258367465865,5.0,,c103,Solomon-100,100,1236,0
Tabu,400.0,1.3625871000112966,True,11,1228.8075935031266,0.0,,c103,Solomon-100,100,1236,1
GRASP,390.0,16.532056900003226,True,10,1229.555579291532,2.5,,c103,Solomon-100,100,1236,0
Tabu,370.0,1.1794124000007287,True,9,1210.2509670656343,7.5,,c103,Solomon-100,100,1236,2
Tabu,280.0,0.9994876999990083,True,7,1202.9605808197457,30.0,,c103,Solomon-100,100,1236,3
GRASP,390.0,16.401622700010194,True,10,1229.555579291532,2.5,,c103,Solomon-100,100,1236,1
Tabu,280.0,1.0147493999975268,True,7,1174.5578437900758,30.0,,c103,Solomon-100,100,1236,4
GRASP,390.0,16.820328900008462,True,10,1211.2003706045173,2.5,,c103,Solomon-100,100,1236,2
GRASP,390.0,16.78040570000303,True,10,1211.2003706045173,2.5,,c103,Solomon-100,100,1236,3
GRASP,390.0,17.353747199987993,True,10,1229.555579291532,2.5,,c103,Solomon-100,100,1236,4
Genetic-Score,170.0,57.69415680001839,True,10,1234.8338991290198,46.88,,c101,Solomon-100,100,1236,2
Genetic-Tailored,380.0,9.436415300006047,True,10,1234.0282043239827,5.0,,c103,Solomon-100,100,1236,3
Genetic-Tailored,370.0,13.177000700001372,True,10,1200.055519226846,7.5,,c103,Solomon-100,100,1236,0
Genetic-Tailored,380.0,10.484744499990484,True,10,1174.8898051363428,5.0,,c103,Solomon-100,100,1236,4
Genetic-Tailored,380.0,13.095350799994776,True,10,1219.488384312128,5.0,,c103,Solomon-100,100,1236,2
Greedy-Score,330.0,0.008370399998966604,True,8,1194.465834716179,21.43,,c104,Solomon-100,100,1236,0
Greedy-Ratio,250.0,0.009403000003658235,True,9,1157.5817179151109,40.48,,c104,Solomon-100,100,1236,0
Genetic-Tailored,390.0,14.296063799993135,True,10,1212.7038017179093,2.5,,c103,Solomon-100,100,1236,1
Genetic-Score,200.0,43.53570390000823,True,9,1235.4829399589757,44.44,,c102,Solomon-100,100,1236,1
Genetic-Score,190.0,52.59733079999569,True,10,1235.90132645631,47.22,,c102,Solomon-100,100,1236,3
Genetic-Score,190.0,54.22515439998824,True,10,1235.9476761851795,47.22,,c102,Solomon-100,100,1236,4
GRASP,410.0,20.66199290001532,True,11,1231.6204247330893,2.38,,c104,Solomon-100,100,1236,1
SA-Boltzmann,330.0,0.08653780000167899,True,8,1194.465834716179,21.43,,c104,Solomon-100,100,1236,0
GRASP,400.0,21.686793800006853,True,10,1191.274716484396,4.76,,c104,Solomon-100,100,1236,0
SA-Boltzmann,340.0,0.11234170000534505,True,9,1112.131332767671,19.05,,c104,Solomon-100,100,1236,1
SA-Boltzmann,330.0,0.11125370001536794,True,8,1194.465834716179,21.43,,c104,Solomon-100,100,1236,2
SA-Boltzmann,350.0,0.11348550001275726,True,9,1200.8958554744854,16.67,,c104,Solomon-100,100,1236,3
SA-Boltzmann,330.0,0.1067378000007011,True,8,1194.465834716179,21.43,,c104,Solomon-100,100,1236,4
SA-Cauchy,370.0,0.11327070000697859,True,10,1225.3410936815317,11.9,,c104,Solomon-100,100,1236,0
SA-Cauchy,350.0,0.10459619999164715,True,10,1190.890196807117,16.67,,c104,Solomon-100,100,1236,1
SA-Cauchy,340.0,0.10652300002402626,True,9,1194.465834716179,19.05,,c104,Solomon-100,100,1236,2
SA-Cauchy,330.0,0.10362249999889173,True,8,1194.465834716179,21.43,,c104,Solomon-100,100,1236,3
SA-Cauchy,360.0,0.10307579999789596,True,10,1216.6610356152157,14.29,,c104,Solomon-100,100,1236,4
GRASP,410.0,20.702410700003384,True,11,1231.952341357836,2.38,,c104,Solomon-100,100,1236,2
Tabu,400.0,1.3259233999997377,True,10,1229.3737962340094,4.76,,c104,Solomon-100,100,1236,0
Tabu,400.0,1.4086532999936026,True,10,1223.159445940861,4.76,,c104,Solomon-100,100,1236,1
Tabu,370.0,1.2065860999864526,True,9,1227.3104485842084,11.9,,c104,Solomon-100,100,1236,2
Tabu,370.0,1.301813400001265,True,9,1227.0718883167656,11.9,,c104,Solomon-100,100,1236,3
Tabu,370.0,1.322827399999369,True,9,1231.8519788301146,11.9,,c104,Solomon-100,100,1236,4
Genetic-Score,190.0,71.4416637000104,True,10,1235.1314972990667,47.22,,c102,Solomon-100,100,1236,0
Genetic-Tailored,390.0,10.009291199996369,True,10,1223.9472298735839,7.14,,c104,Solomon-100,100,1236,0
Genetic-Tailored,400.0,13.706233100005193,True,10,1227.3251303561467,4.76,,c104,Solomon-100,100,1236,1
Genetic-Score,210.0,43.93008900000132,True,10,1235.040831378862,47.5,,c103,Solomon-100,100,1236,1
GRASP,410.0,22.543183100002352,True,11,1231.952341357836,2.38,,c104,Solomon-100,100,1236,3
GRASP,400.0,22.64328530000057,True,10,1228.5595243610726,4.76,,c104,Solomon-100,100,1236,4
Genetic-Tailored,390.0,19.151242699997965,True,10,1222.1538604084435,7.14,,c104,Solomon-100,100,1236,2
Genetic-Score,220.0,84.79886450001504,True,10,1235.9567508815862,38.89,,c102,Solomon-100,100,1236,2
Greedy-Score,230.0,0.03147690001060255,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,0
Greedy-Ratio,170.0,0.012519899988546968,True,9,1195.2093727122985,50.0,,c105,Solomon-100,100,1236,0
Genetic-Score,290.0,51.586846699996386,True,10,1235.9851061622112,27.5,,c103,Solomon-100,100,1236,0
Genetic-Tailored,400.0,18.483589400013443,True,10,1223.60865916741,4.76,,c104,Solomon-100,100,1236,3
Genetic-Tailored,400.0,17.886836899997434,True,10,1202.668674883832,4.76,,c104,Solomon-100,100,1236,4
GRASP,330.0,8.288740699994378,True,10,1165.3671884415326,2.94,,c105,Solomon-100,100,1236,0
GRASP,330.0,7.97303429999738,True,10,1165.3671884415326,2.94,,c105,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.11744589998852462,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.13428609998663887,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.1251029999984894,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,2
SA-Boltzmann,230.0,0.12839489997713827,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,3
SA-Boltzmann,230.0,0.13669499999377877,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,4
SA-Cauchy,230.0,0.12118680001003668,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,0
SA-Cauchy,250.0,0.12702200000057928,True,9,1208.5366446474147,26.47,,c105,Solomon-100,100,1236,1
SA-Cauchy,260.0,0.22420530000817962,True,9,1164.2845599541831,23.53,,c105,Solomon-100,100,1236,2
SA-Cauchy,300.0,0.20122600000468083,True,10,1195.691252011432,11.76,,c105,Solomon-100,100,1236,3
SA-Cauchy,230.0,0.19665130000794306,True,7,1193.5687760398168,32.35,,c105,Solomon-100,100,1236,4
Tabu,320.0,1.0413333000033163,True,9,1067.8113883008418,5.88,,c105,Solomon-100,100,1236,0
GRASP,330.0,8.024960700015072,True,10,1163.051447497597,2.94,,c105,Solomon-100,100,1236,2
Genetic-Score,240.0,58.780493899976136,True,10,1235.1045717420197,40.0,,c103,Solomon-100,100,1236,2
Tabu,320.0,1.0794288000033703,True,9,1067.8113883008418,5.88,,c105,Solomon-100,100,1236,1
Tabu,320.0,1.0444463999883737,True,9,1067.8113883008418,5.88,,c105,Solomon-100,100,1236,2
Genetic-Score,160.0,58.42223899997771,True,9,1235.7934467233877,60.0,,c103,Solomon-100,100,1236,3
Tabu,320.0,1.017045100015821,True,9,1067.8113883008418,5.88,,c105,Solomon-100,100,1236,3
Tabu,290.0,1.0468073000083677,True,8,1067.8113883008418,14.71,,c105,Solomon-100,100,1236,4
GRASP,330.0,8.01977069998975,True,10,1163.051447497597,2.94,,c105,Solomon-100,100,1236,3
GRASP,330.0,8.891085000010207,True,10,1163.051447497597,2.94,,c105,Solomon-100,100,1236,4
Genetic-Tailored,330.0,7.253973600018071,True,10,1168.4065740944513,2.94,,c105,Solomon-100,100,1236,2
Genetic-Tailored,330.0,7.23819580001873,True,10,1131.091570569841,2.94,,c105,Solomon-100,100,1236,3
Genetic-Tailored,340.0,9.675813500012737,True,10,1200.7521655072512,0.0,,c105,Solomon-100,100,1236,0
Genetic-Tailored,330.0,10.288678300013999,True,10,1131.091570569841,2.94,,c105,Solomon-100,100,1236,1
Genetic-Tailored,330.0,9.13642960001016,True,10,1168.4065740944513,2.94,,c105,Solomon-100,100,1236,4
Greedy-Score,230.0,0.01789639997878112,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,0
Greedy-Ratio,170.0,0.01238759999978356,True,9,1179.2093727122985,50.0,,c106,Solomon-100,100,1236,0
GRASP,330.0,9.438469099986833,True,10,1187.3007412832433,2.94,,c106,Solomon-100,100,1236,0
Genetic-Score,240.0,41.04146259999834,True,10,1235.866275325135,42.86,,c104,Solomon-100,100,1236,2
Genetic-Score,270.0,84.79889619999449,True,10,1235.4487321056558,32.5,,c103,Solomon-100,100,1236,4
Genetic-Score,170.0,23.569310099992435,True,7,1234.7259937818103,50.0,,c105,Solomon-100,100,1236,2
GRASP,330.0,9.759783899993636,True,10,1187.3007412832433,2.94,,c106,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.16420490000746213,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,0
SA-Boltzmann,240.0,0.1417829999991227,True,8,1182.5687760398168,29.41,,c106,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.14502610001363792,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,2
SA-Boltzmann,230.0,0.1352279999991879,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,3
Genetic-Score,120.0,21.41003910001018,True,6,1234.7259937818103,64.71,,c105,Solomon-100,100,1236,4
SA-Boltzmann,230.0,0.16609799998695962,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,4
SA-Cauchy,270.0,0.13339249999262393,True,8,1066.9039139787365,20.59,,c106,Solomon-100,100,1236,0
SA-Cauchy,260.0,0.17920450001838617,True,10,1157.7934258239598,23.53,,c106,Solomon-100,100,1236,1
SA-Cauchy,270.0,0.14601509997737594,True,9,1182.5687760398168,20.59,,c106,Solomon-100,100,1236,2
SA-Cauchy,230.0,0.18905389998690225,True,7,1182.5687760398168,32.35,,c106,Solomon-100,100,1236,3
SA-Cauchy,260.0,0.1398678999976255,True,9,1145.5253982960114,23.53,,c106,Solomon-100,100,1236,4
Tabu,320.0,1.1015764999901876,True,9,1059.4208775726531,5.88,,c106,Solomon-100,100,1236,1
Tabu,320.0,1.126342100003967,True,9,1071.7200193887484,5.88,,c106,Solomon-100,100,1236,0
Tabu,320.0,1.1327449000091292,True,9,1059.4208775726531,5.88,,c106,Solomon-100,100,1236,2
Tabu,320.0,1.1444295999826863,True,9,1059.4208775726531,5.88,,c106,Solomon-100,100,1236,3
GRASP,330.0,10.223595300019952,True,10,1187.3007412832433,2.94,,c106,Solomon-100,100,1236,2
Tabu,320.0,1.1213783000130206,True,9,1059.4208775726531,5.88,,c106,Solomon-100,100,1236,4
GRASP,330.0,9.336442100000568,True,10,1187.3007412832433,2.94,,c106,Solomon-100,100,1236,3
GRASP,330.0,8.8187128000136,True,10,1187.3007412832433,2.94,,c106,Solomon-100,100,1236,4
Genetic-Score,150.0,38.46129910001764,True,9,1234.8023198630754,55.88,,c105,Solomon-100,100,1236,0
Genetic-Tailored,330.0,7.0371038999874145,True,10,1185.1782653116281,2.94,,c106,Solomon-100,100,1236,3
Genetic-Tailored,330.0,9.926497700012987,True,10,1156.760328452142,2.94,,c106,Solomon-100,100,1236,0
Genetic-Score,200.0,67.57419750001281,True,11,1235.607368491563,52.38,,c104,Solomon-100,100,1236,1
Genetic-Tailored,330.0,14.524769900017418,True,10,1145.091570569841,2.94,,c106,Solomon-100,100,1236,2
Genetic-Score,190.0,65.53029009999591,True,11,1235.9963847475435,54.76,,c104,Solomon-100,100,1236,3
Greedy-Score,240.0,0.017540200002258644,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,0
Greedy-Ratio,190.0,0.013237299979664385,True,9,1181.3323896396305,48.65,,c107,Solomon-100,100,1236,0
Genetic-Score,220.0,45.51861649999046,True,10,1234.8453591221971,35.29,,c105,Solomon-100,100,1236,1
Genetic-Score,170.0,43.57801999998628,True,9,1234.7259937818103,50.0,,c105,Solomon-100,100,1236,3
Genetic-Tailored,340.0,18.142784499999834,True,10,1175.135946234837,0.0,,c106,Solomon-100,100,1236,1
GRASP,350.0,8.888513000012608,True,11,1207.6827015129516,5.41,,c107,Solomon-100,100,1236,0
GRASP,350.0,9.239442299993243,True,10,1194.752173533538,5.41,,c107,Solomon-100,100,1236,1
SA-Boltzmann,240.0,0.12686709998524748,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,0
SA-Boltzmann,240.0,0.12918440002249554,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,1
GRASP,350.0,9.368765299994266,True,11,1218.3500688118752,5.41,,c107,Solomon-100,100,1236,2
SA-Boltzmann,240.0,0.1281650000018999,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,2
SA-Boltzmann,240.0,0.12557030000607483,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,3
SA-Boltzmann,240.0,0.12735799999791197,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,4
SA-Cauchy,240.0,0.13046399998711422,True,7,1174.5687760398168,35.14,,c107,Solomon-100,100,1236,0
SA-Cauchy,250.0,0.12905160000082105,True,8,1174.5687760398168,32.43,,c107,Solomon-100,100,1236,1
SA-Cauchy,280.0,0.1452067000209354,True,10,1211.9784085835597,24.32,,c107,Solomon-100,100,1236,2
SA-Cauchy,260.0,0.12861559999873862,True,8,1174.5687760398168,29.73,,c107,Solomon-100,100,1236,3
SA-Cauchy,300.0,0.13047989999176934,True,9,1174.5687760398168,18.92,,c107,Solomon-100,100,1236,4
GRASP,350.0,10.172222099994542,True,11,1218.3500688118752,5.41,,c107,Solomon-100,100,1236,3
Tabu,330.0,1.1482760999933816,True,9,1068.9744653610292,10.81,,c107,Solomon-100,100,1236,0
Tabu,330.0,1.2007653999899048,True,9,1071.1006433570565,10.81,,c107,Solomon-100,100,1236,1
Tabu,330.0,1.1544645999965724,True,9,1068.9744653610292,10.81,,c107,Solomon-100,100,1236,2
Tabu,330.0,1.1156054000020958,True,9,1068.9744653610292,10.81,,c107,Solomon-100,100,1236,3
Tabu,330.0,1.1121005000022706,True,9,1058.0971302075143,10.81,,c107,Solomon-100,100,1236,4
Genetic-Tailored,340.0,26.369034100003773,True,10,1175.4021791520624,0.0,,c106,Solomon-100,100,1236,4
GRASP,350.0,9.91441249998752,True,11,1218.3500688118752,5.41,,c107,Solomon-100,100,1236,4
Genetic-Tailored,360.0,7.309581099980278,True,10,1172.6129280503542,2.7,,c107,Solomon-100,100,1236,2
Genetic-Tailored,350.0,8.862516799999867,True,10,1167.9422136650892,5.41,,c107,Solomon-100,100,1236,1
Genetic-Tailored,350.0,8.382981999980984,True,10,1170.2579546090249,5.41,,c107,Solomon-100,100,1236,3
Genetic-Tailored,350.0,11.736425000010058,True,10,1167.9422136650892,5.41,,c107,Solomon-100,100,1236,0
Genetic-Tailored,340.0,7.802852399996482,True,10,1180.4196583484008,8.11,,c107,Solomon-100,100,1236,4
Genetic-Score,200.0,38.123035399999935,True,9,1235.0222274428986,41.18,,c106,Solomon-100,100,1236,2
Greedy-Score,260.0,0.018371499987551942,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,0
Greedy-Ratio,180.0,0.011613300011958927,True,7,1173.3323896396305,51.35,,c108,Solomon-100,100,1236,0
Genetic-Score,180.0,41.16753420000896,True,9,1235.1442872295675,47.06,,c106,Solomon-100,100,1236,1
Genetic-Score,210.0,99.92541920000804,True,10,1235.7029232950197,50.0,,c104,Solomon-100,100,1236,4
GRASP,350.0,10.339230599987786,True,10,1200.4194592681813,5.41,,c108,Solomon-100,100,1236,0
GRASP,350.0,9.50260549999075,True,11,1223.3830534469162,5.41,,c108,Solomon-100,100,1236,1
Genetic-Score,190.0,45.292496399983065,True,9,1234.9086262031747,44.12,,c106,Solomon-100,100,1236,4
SA-Boltzmann,260.0,0.13477000000420958,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,0
SA-Boltzmann,260.0,0.12887159999809228,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,1
SA-Boltzmann,260.0,0.12214019999373704,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,2
SA-Boltzmann,280.0,0.12942219999968074,True,9,1196.9049459959192,24.32,,c108,Solomon-100,100,1236,3
GRASP,350.0,9.590203100000508,True,10,1202.735200212117,5.41,,c108,Solomon-100,100,1236,2
SA-Boltzmann,260.0,0.12827560000005178,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,4
SA-Cauchy,310.0,0.13258390000555664,True,9,1136.4223890623896,16.22,,c108,Solomon-100,100,1236,1
SA-Cauchy,300.0,0.13769659999525174,True,9,1175.8771896185992,18.92,,c108,Solomon-100,100,1236,0
SA-Cauchy,310.0,0.14189100000658073,True,10,1215.303254099398,16.22,,c108,Solomon-100,100,1236,2
SA-Cauchy,260.0,0.14155919998302124,True,8,1175.8771896185992,29.73,,c108,Solomon-100,100,1236,3
SA-Cauchy,300.0,0.14323720001266338,True,10,1233.7651716839678,18.92,,c108,Solomon-100,100,1236,4
Tabu,330.0,1.167542000010144,True,9,1062.4703913570186,10.81,,c108,Solomon-100,100,1236,0
Tabu,350.0,1.1223222999833524,True,10,1123.5170570537916,5.41,,c108,Solomon-100,100,1236,1
Tabu,350.0,1.1600116999761667,True,10,1123.7014569086023,5.41,,c108,Solomon-100,100,1236,2
Tabu,340.0,1.2006808999867644,True,9,1042.7179105884895,8.11,,c108,Solomon-100,100,1236,3
Tabu,350.0,1.1896430999913719,True,10,1123.7014569086023,5.41,,c108,Solomon-100,100,1236,4
GRASP,350.0,10.37305289998767,True,11,1223.3830534469162,5.41,,c108,Solomon-100,100,1236,3
GRASP,350.0,9.741144300001906,True,10,1220.9375137115624,5.41,,c108,Solomon-100,100,1236,4
Genetic-Score,240.0,62.25476899999194,True,10,1234.0269050299357,29.41,,c106,Solomon-100,100,1236,0
Genetic-Score,210.0,127.1431238000223,True,11,1235.8855158919407,50.0,,c104,Solomon-100,100,1236,0
Genetic-Tailored,370.0,9.53395250000176,True,11,1230.8190930063556,0.0,,c108,Solomon-100,100,1236,0
Genetic-Score,230.0,59.09329920000164,True,10,1235.1797769501916,32.35,,c106,Solomon-100,100,1236,3
Genetic-Tailored,340.0,7.73946270000306,True,10,1118.4610776927498,8.11,,c108,Solomon-100,100,1236,2
Genetic-Tailored,350.0,8.314401499985252,True,10,1190.7505736260177,5.41,,c108,Solomon-100,100,1236,3
Genetic-Tailored,360.0,14.39011949999258,True,11,1223.2607282843271,2.7,,c108,Solomon-100,100,1236,4
Greedy-Score,320.0,0.015232000005198643,True,9,1122.0395130732077,15.79,,c109,Solomon-100,100,1236,0
Greedy-Ratio,190.0,0.03806859999895096,True,8,1190.2878754535097,50.0,,c109,Solomon-100,100,1236,0
Genetic-Score,270.0,48.95283059999929,True,10,1234.939076390262,27.03,,c107,Solomon-100,100,1236,0
Genetic-Tailored,370.0,27.713225000014063,True,11,1230.4849616972515,0.0,,c108,Solomon-100,100,1236,1
Genetic-Score,230.0,54.48692209998262,True,10,1234.692465082479,37.84,,c107,Solomon-100,100,1236,2
GRASP,380.0,15.446486100001493,True,11,1222.271453521179,0.0,,c109,Solomon-100,100,1236,0
