solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,timed_out,error,instance,group,n_landmarks,time_budget,run_id
Tabu,270.0,1.6750503999646753,True,7,935.6155281280883,15.62,False,,c101,Solomon-100,100,1236,0
Tabu-Random,270.0,1.7664820000063628,True,7,935.6155281280883,15.62,False,,c101,Solomon-100,100,1236,0
Tabu-Random,270.0,1.7213029999984428,True,7,935.6155281280883,15.62,False,,c101,Solomon-100,100,1236,2
Tabu-Random,270.0,1.7369299998972565,True,7,935.6155281280883,15.62,False,,c101,Solomon-100,100,1236,3
Tabu-Random,270.0,1.7888591999653727,True,7,935.6155281280883,15.62,False,,c101,Solomon-100,100,1236,4
Tabu-Random,270.0,1.9896851000376046,True,9,1115.8113883008418,15.62,False,,c101,Solomon-100,100,1236,1
Genetic-Tailored,300.0,9.677629199926741,True,9,1162.02775637732,6.25,False,,c101,Solomon-100,100,1236,4
Genetic-Tailored,320.0,10.149903299985453,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,2
Genetic-Tailored,310.0,10.274236100027338,True,10,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,3
Genetic-Tailored,300.0,12.367010200046934,True,10,1154.7573645086422,6.25,False,,c101,Solomon-100,100,1236,0
Greedy-Ratio,180.0,0.021223700023256242,True,8,1159.7027129975631,50.0,False,,c102,Solomon-100,100,1236,0
Greedy-Score,300.0,0.031434600008651614,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,0
Greedy-Random,130.0,0.008002100046724081,True,8,1221.7033032607528,63.89,False,,c102,Solomon-100,100,1236,0
Greedy-Random,90.0,0.0055059000151231885,True,5,1204.054508891069,75.0,False,,c102,Solomon-100,100,1236,1
Greedy-Random,120.0,0.008800099953077734,True,8,1226.822843474099,66.67,False,,c102,Solomon-100,100,1236,2
Greedy-Random,30.0,0.002700099954381585,True,2,1208.3152817958094,91.67,False,,c102,Solomon-100,100,1236,3
Greedy-Random,110.0,0.006428199936635792,True,6,1184.4037419297622,69.44,False,,c102,Solomon-100,100,1236,4
GRASP,310.0,14.165354800061323,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,1
GRASP,310.0,14.79578709998168,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,4
GRASP,310.0,14.906967299990356,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,2
GRASP,310.0,14.982041300041601,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,0
GRASP,310.0,15.359155900077894,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,3
SA-Boltzmann,310.0,0.21506369998678565,True,9,1171.7237069985347,13.89,False,,c102,Solomon-100,100,1236,0
SA-Boltzmann,300.0,0.19291840004734695,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,1
SA-Boltzmann,300.0,0.18800660001579672,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,2
SA-Boltzmann,300.0,0.17865050002001226,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,3
SA-Boltzmann,300.0,0.18528730003163218,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,4
SA-Cauchy,330.0,0.2020801999606192,True,10,1235.6444508367174,8.33,False,,c102,Solomon-100,100,1236,0
SA-Cauchy,300.0,0.22672679997049272,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,1
SA-Cauchy,300.0,0.18154319992754608,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,2
SA-Cauchy,300.0,0.21585559996310622,True,9,1235.6444508367174,16.67,False,,c102,Solomon-100,100,1236,3
SA-Cauchy,310.0,0.18145549995824695,True,10,1220.7380689300855,13.89,False,,c102,Solomon-100,100,1236,4
Genetic-Tailored,310.0,16.07553829997778,True,9,1154.091570569841,3.12,False,,c101,Solomon-100,100,1236,1
Tabu,320.0,2.3546140999533236,True,10,1231.798364100995,11.11,False,,c102,Solomon-100,100,1236,0
Tabu-Random,310.0,2.2543757000239566,True,9,1231.8910131008465,13.89,False,,c102,Solomon-100,100,1236,0
Tabu-Random,310.0,2.1940023999195546,True,9,1219.3300223386727,13.89,False,,c102,Solomon-100,100,1236,1
Tabu-Random,350.0,2.470256599946879,True,10,1220.9217582752638,2.78,False,,c102,Solomon-100,100,1236,2
Tabu-Random,310.0,2.1419801000738516,True,9,1232.1474220927364,13.89,False,,c102,Solomon-100,100,1236,3
Tabu-Random,310.0,2.239528500009328,True,9,1220.9217582752638,13.89,False,,c102,Solomon-100,100,1236,4
GRASP,360.0,29.390077600022778,True,11,1218.3602270464041,0.0,False,,c102,Solomon-100,100,1236,2
GRASP,360.0,32.1996560000116,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,0
GRASP,360.0,32.328850500052795,True,11,1223.740202639675,0.0,False,,c102,Solomon-100,100,1236,1
GRASP,360.0,32.82916750002187,True,11,1213.8338097316687,0.0,False,,c102,Solomon-100,100,1236,3
GRASP,360.0,35.697360199992545,True,11,1211.1271466594278,0.0,False,,c102,Solomon-100,100,1236,4
Genetic-Tailored,360.0,27.759393899934366,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,0
Genetic-Tailored,360.0,31.730287199956365,True,11,1210.6534327612935,0.0,False,,c102,Solomon-100,100,1236,1
Genetic-Tailored,340.0,13.037319199997,True,10,1181.3883031317027,5.56,False,,c102,Solomon-100,100,1236,3
Genetic-Score,320.0,60.55343039997388,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,1
Greedy-Ratio,240.0,0.019852799945510924,True,9,1169.075804065706,40.0,False,,c103,Solomon-100,100,1236,0
Greedy-Score,310.0,0.02118969999719411,True,8,1184.9732737557338,22.5,False,,c103,Solomon-100,100,1236,0
Greedy-Random,100.0,0.006873999955132604,True,6,1230.501995726005,75.0,False,,c103,Solomon-100,100,1236,0
Greedy-Random,140.0,0.00793560000602156,True,6,1226.2339544471743,65.0,False,,c103,Solomon-100,100,1236,1
Greedy-Random,70.0,0.009864699910394847,True,6,1222.8082920572267,82.5,False,,c103,Solomon-100,100,1236,2
Greedy-Random,60.0,0.006458999938331544,True,5,1227.4537340468676,85.0,False,,c103,Solomon-100,100,1236,3
Greedy-Random,90.0,0.005419600056484342,True,5,1165.5990999023431,77.5,False,,c103,Solomon-100,100,1236,4
Genetic-Score,320.0,60.99289609992411,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,0
Genetic-Tailored,360.0,31.207624400034547,True,11,1213.8338097316687,0.0,False,,c102,Solomon-100,100,1236,2
Genetic-Score,320.0,64.67395910003688,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,3
Genetic-Score,320.0,65.25464479997754,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,4
Genetic-Score,320.0,66.52268010005355,True,10,1154.091570569841,0.0,False,,c101,Solomon-100,100,1236,2
SA-Boltzmann,310.0,0.17661259998567402,True,8,1184.9732737557338,22.5,False,,c103,Solomon-100,100,1236,0
SA-Boltzmann,320.0,0.14192159997764975,True,9,1181.6522863286198,20.0,False,,c103,Solomon-100,100,1236,1
SA-Boltzmann,310.0,0.16535200004000217,True,8,1184.9732737557338,22.5,False,,c103,Solomon-100,100,1236,2
SA-Boltzmann,310.0,0.1523458999581635,True,8,1184.9732737557338,22.5,False,,c103,Solomon-100,100,1236,3
SA-Boltzmann,310.0,0.15346790000330657,True,8,1184.9732737557338,22.5,False,,c103,Solomon-100,100,1236,4
SA-Cauchy,330.0,0.15317329997196794,True,10,1209.8353815207843,17.5,False,,c103,Solomon-100,100,1236,0
SA-Cauchy,340.0,0.16555120004341006,True,10,1170.2567690328501,15.0,False,,c103,Solomon-100,100,1236,1
SA-Cauchy,340.0,0.1566518999170512,True,10,1215.1358835492526,15.0,False,,c103,Solomon-100,100,1236,2
SA-Cauchy,330.0,0.16611839993856847,True,10,1195.606103217024,17.5,False,,c103,Solomon-100,100,1236,3
SA-Cauchy,350.0,0.17004940006881952,True,10,1196.132476217949,12.5,False,,c103,Solomon-100,100,1236,4
Tabu,360.0,2.5375631999922916,True,9,1226.614166452036,10.0,False,,c103,Solomon-100,100,1236,0
Tabu-Random,370.0,2.3793841999722645,True,9,1220.4888618686455,7.5,False,,c103,Solomon-100,100,1236,0
Tabu-Random,370.0,2.275954999960959,True,9,1231.8808393334712,7.5,False,,c103,Solomon-100,100,1236,1
Tabu-Random,280.0,1.9297182000009343,True,7,1228.1369684660954,30.0,False,,c103,Solomon-100,100,1236,2
Tabu-Random,390.0,2.523577700019814,True,10,1226.2766067375242,2.5,False,,c103,Solomon-100,100,1236,3
GRASP,390.0,30.490763199981302,True,10,1230.3620307443648,2.5,False,,c103,Solomon-100,100,1236,0
Tabu-Random,370.0,2.3313612999627367,True,9,1218.370975230126,7.5,False,,c103,Solomon-100,100,1236,4
GRASP,390.0,33.45669039990753,True,10,1233.5424166610119,2.5,False,,c103,Solomon-100,100,1236,1
Genetic-Tailored,350.0,55.60529840004165,True,11,1219.3300223386727,2.78,False,,c102,Solomon-100,100,1236,4
GRASP,390.0,29.319501199992374,True,10,1233.5424166610119,2.5,False,,c103,Solomon-100,100,1236,4
GRASP,390.0,33.377328300033696,True,10,1231.6936171046798,2.5,False,,c103,Solomon-100,100,1236,2
GRASP,390.0,32.135985899949446,True,10,1229.555579291532,2.5,False,,c103,Solomon-100,100,1236,3
Genetic-Tailored,380.0,16.40670399996452,True,10,1212.0782603304256,5.0,False,,c103,Solomon-100,100,1236,1
Genetic-Tailored,380.0,17.87658190005459,True,10,1211.0163436024384,5.0,False,,c103,Solomon-100,100,1236,2
Genetic-Tailored,380.0,18.2434699999867,True,10,1229.637172288956,5.0,False,,c103,Solomon-100,100,1236,4
Genetic-Tailored,380.0,25.60225629992783,True,10,1212.2164385631843,5.0,False,,c103,Solomon-100,100,1236,3
Greedy-Ratio,250.0,0.02059289999306202,True,9,1157.5817179151109,40.48,False,,c104,Solomon-100,100,1236,0
Greedy-Score,330.0,0.02367180003784597,True,8,1194.465834716179,21.43,False,,c104,Solomon-100,100,1236,0
Greedy-Random,120.0,0.0057480999967083335,True,5,1147.9581722643393,71.43,False,,c104,Solomon-100,100,1236,0
Greedy-Random,190.0,0.014008500031195581,True,10,1233.5355738493085,54.76,False,,c104,Solomon-100,100,1236,1
Greedy-Random,110.0,0.011400599963963032,True,8,1174.955657598063,73.81,False,,c104,Solomon-100,100,1236,2
Greedy-Random,110.0,0.014490499976091087,True,9,1207.9253310835768,73.81,False,,c104,Solomon-100,100,1236,3
Greedy-Random,80.0,0.006414900068193674,True,5,1221.9282921200968,80.95,False,,c104,Solomon-100,100,1236,4
Genetic-Tailored,380.0,43.97076880000532,True,10,1174.1657614274097,5.0,False,,c103,Solomon-100,100,1236,0
Genetic-Score,360.0,96.12305339996237,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,0
Genetic-Score,360.0,95.22221110004466,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,2
Genetic-Score,360.0,97.16937079990748,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,1
Genetic-Score,360.0,94.94082439993508,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,3
SA-Boltzmann,330.0,0.15342029999010265,True,8,1194.465834716179,21.43,False,,c104,Solomon-100,100,1236,0
SA-Boltzmann,350.0,0.17970670002978295,True,9,1192.3274755299246,16.67,False,,c104,Solomon-100,100,1236,1
SA-Boltzmann,330.0,0.15162899997085333,True,8,1194.465834716179,21.43,False,,c104,Solomon-100,100,1236,2
SA-Boltzmann,330.0,0.10401659994386137,True,8,1194.465834716179,21.43,False,,c104,Solomon-100,100,1236,3
Genetic-Score,360.0,94.12823849997949,True,11,1210.4148696690443,0.0,False,,c102,Solomon-100,100,1236,4
SA-Boltzmann,330.0,0.12664180004503578,True,8,1194.465834716179,21.43,False,,c104,Solomon-100,100,1236,4
SA-Cauchy,350.0,0.1536706000333652,True,9,1194.465834716179,16.67,False,,c104,Solomon-100,100,1236,0
SA-Cauchy,370.0,0.17433109995909035,True,10,1230.8488718060373,11.9,False,,c104,Solomon-100,100,1236,1
SA-Cauchy,360.0,0.18173559999559075,True,10,1232.3576210167646,14.29,False,,c104,Solomon-100,100,1236,2
SA-Cauchy,360.0,0.18129919993225485,True,10,1174.5095488158615,14.29,False,,c104,Solomon-100,100,1236,3
SA-Cauchy,350.0,0.18441900005564094,True,10,1232.7716665123683,16.67,False,,c104,Solomon-100,100,1236,4
Tabu,370.0,2.5691348999971524,True,9,1189.0878513744008,11.9,False,,c104,Solomon-100,100,1236,0
Tabu-Random,370.0,2.574545899988152,True,9,1186.0326887274261,11.9,False,,c104,Solomon-100,100,1236,0
Tabu-Random,390.0,2.450343700009398,True,10,1221.8735961022885,7.14,False,,c104,Solomon-100,100,1236,2
Tabu-Random,380.0,2.817928300006315,True,10,1229.1516859391802,9.52,False,,c104,Solomon-100,100,1236,1
Tabu-Random,390.0,2.51141350006219,True,10,1233.336939973256,7.14,False,,c104,Solomon-100,100,1236,3
Tabu-Random,390.0,2.5318319000070915,True,10,1170.8891108411015,7.14,False,,c104,Solomon-100,100,1236,4
GRASP,410.0,40.679519600002095,True,11,1223.7816758685224,2.38,False,,c104,Solomon-100,100,1236,0
Genetic-Tailored,400.0,18.416491999989375,True,10,1225.0545794576435,4.76,False,,c104,Solomon-100,100,1236,0
GRASP,400.0,41.59684600005858,True,10,1232.8818729529041,4.76,False,,c104,Solomon-100,100,1236,1
Genetic-Tailored,390.0,20.66602140001487,True,10,1216.1611619495877,7.14,False,,c104,Solomon-100,100,1236,1
GRASP,400.0,38.35272139997687,True,10,1233.4180790444964,4.76,False,,c104,Solomon-100,100,1236,2
GRASP,410.0,35.687495599966496,True,11,1231.952341357836,2.38,False,,c104,Solomon-100,100,1236,3
GRASP,410.0,39.261233899975196,True,11,1231.952341357836,2.38,False,,c104,Solomon-100,100,1236,4
Genetic-Score,390.0,81.05737990001217,True,10,1212.4342001340572,2.5,False,,c103,Solomon-100,100,1236,3
Genetic-Tailored,400.0,17.20049850002397,True,10,1228.377291419849,4.76,False,,c104,Solomon-100,100,1236,3
Greedy-Ratio,170.0,0.02459909999743104,True,9,1195.2093727122985,50.0,False,,c105,Solomon-100,100,1236,0
Greedy-Score,230.0,0.033796200063079596,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,0
Greedy-Random,50.0,0.006314900005236268,True,5,1169.02775637732,85.29,False,,c105,Solomon-100,100,1236,0
Greedy-Random,110.0,0.009014199953526258,True,6,1153.7381098974238,67.65,False,,c105,Solomon-100,100,1236,1
Greedy-Random,90.0,0.0051247000228613615,True,4,1193.5687760398168,73.53,False,,c105,Solomon-100,100,1236,2
Greedy-Random,50.0,0.0036848000017926097,True,3,1199.2932675999753,85.29,False,,c105,Solomon-100,100,1236,3
Greedy-Random,40.0,0.005605400074273348,True,4,1150.037059972935,88.24,False,,c105,Solomon-100,100,1236,4
Genetic-Score,390.0,93.59209609997924,True,10,1211.2003706045173,2.5,False,,c103,Solomon-100,100,1236,0
Genetic-Tailored,400.0,35.28558140003588,True,10,1205.7440263626004,4.76,False,,c104,Solomon-100,100,1236,2
Genetic-Score,390.0,94.46230640006252,True,10,1211.2003706045173,2.5,False,,c103,Solomon-100,100,1236,2
Genetic-Tailored,390.0,25.868662199936807,True,10,1178.1017073310759,7.14,False,,c104,Solomon-100,100,1236,4
GRASP,330.0,15.282037399942055,True,10,1163.051447497597,2.94,False,,c105,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.19234890001825988,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.19158270000480115,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,1
SA-Boltzmann,230.0,0.1722658999497071,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,2
SA-Boltzmann,230.0,0.17750440002419055,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,3
SA-Boltzmann,230.0,0.2021577999694273,True,7,1193.5687760398168,32.35,False,,c105,Solomon-100,100,1236,4
SA-Cauchy,280.0,0.22006049996707588,True,10,1196.5398638030924,17.65,False,,c105,Solomon-100,100,1236,0
SA-Cauchy,280.0,0.2543661999516189,True,10,1132.9682095185783,17.65,False,,c105,Solomon-100,100,1236,1
SA-Cauchy,280.0,0.22113660001195967,True,10,1184.0031809294285,17.65,False,,c105,Solomon-100,100,1236,2
SA-Cauchy,250.0,0.20884470001328737,True,9,1186.637442849985,26.47,False,,c105,Solomon-100,100,1236,3
SA-Cauchy,240.0,0.21472380007617176,True,9,1205.3702109948003,29.41,False,,c105,Solomon-100,100,1236,4
Genetic-Score,390.0,106.0588341000257,True,10,1211.2003706045173,2.5,False,,c103,Solomon-100,100,1236,1
Tabu,320.0,2.105438999948092,True,9,1067.8113883008418,5.88,False,,c105,Solomon-100,100,1236,0
Tabu-Random,290.0,2.0677593000000343,True,8,929.7635124125314,14.71,False,,c105,Solomon-100,100,1236,0
Tabu-Random,320.0,2.1870953000616282,True,9,1067.8113883008418,5.88,False,,c105,Solomon-100,100,1236,1
GRASP,330.0,15.467676799977198,True,10,1163.051447497597,2.94,False,,c105,Solomon-100,100,1236,1
GRASP,330.0,14.66209879994858,True,10,1165.3671884415326,2.94,False,,c105,Solomon-100,100,1236,2
GRASP,330.0,14.30132699990645,True,10,1165.3671884415326,2.94,False,,c105,Solomon-100,100,1236,4
Tabu-Random,320.0,2.14587849995587,True,9,1067.8113883008418,5.88,False,,c105,Solomon-100,100,1236,2
Tabu-Random,320.0,2.0996839000144973,True,9,1067.8113883008418,5.88,False,,c105,Solomon-100,100,1236,4
Tabu-Random,290.0,2.294061900000088,True,8,1067.8113883008418,14.71,False,,c105,Solomon-100,100,1236,3
GRASP,330.0,15.468449600040913,True,10,1163.051447497597,2.94,False,,c105,Solomon-100,100,1236,3
Genetic-Score,400.0,101.75174809992313,True,11,1234.2302551491982,0.0,False,,c103,Solomon-100,100,1236,4
Genetic-Tailored,340.0,10.807003099936992,True,10,1200.7521655072512,0.0,False,,c105,Solomon-100,100,1236,1
Genetic-Tailored,330.0,12.495306900003925,True,10,1181.5702251071216,2.94,False,,c105,Solomon-100,100,1236,2
Genetic-Tailored,340.0,13.348312999936752,True,10,1200.7521655072512,0.0,False,,c105,Solomon-100,100,1236,0
Genetic-Tailored,340.0,13.798521899967454,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,3
Greedy-Ratio,170.0,0.024559299927204847,True,9,1179.2093727122985,50.0,False,,c106,Solomon-100,100,1236,0
Greedy-Score,230.0,0.034237499930895865,True,7,1182.5687760398168,32.35,False,,c106,Solomon-100,100,1236,0
Greedy-Random,50.0,0.006334600038826466,True,4,1225.1449991459438,85.29,False,,c106,Solomon-100,100,1236,0
Greedy-Random,30.0,0.004816400003619492,True,3,1220.796935475448,91.18,False,,c106,Solomon-100,100,1236,1
Greedy-Random,70.0,0.005208199960179627,True,4,1194.2932675999753,79.41,False,,c106,Solomon-100,100,1236,2
Greedy-Random,70.0,0.010236900066956878,True,6,1121.2880480027893,79.41,False,,c106,Solomon-100,100,1236,3
Greedy-Random,60.0,0.006077999947592616,True,4,1182.5687760398168,82.35,False,,c106,Solomon-100,100,1236,4
Genetic-Tailored,330.0,15.065772700007074,True,10,1181.5702251071216,2.94,False,,c105,Solomon-100,100,1236,4
GRASP,330.0,17.19614990008995,True,10,1153.051447497597,2.94,False,,c106,Solomon-100,100,1236,0
GRASP,330.0,17.944544599973597,True,10,1187.3007412832433,2.94,False,,c106,Solomon-100,100,1236,1
GRASP,330.0,17.787071999977343,True,10,1185.1782653116281,2.94,False,,c106,Solomon-100,100,1236,2
GRASP,330.0,17.454409900004975,True,10,1187.3007412832433,2.94,False,,c106,Solomon-100,100,1236,3
SA-Boltzmann,240.0,0.22437549999449402,True,8,1056.8113883008418,29.41,False,,c106,Solomon-100,100,1236,0
SA-Boltzmann,230.0,0.21694479999132454,True,7,1182.5687760398168,32.35,False,,c106,Solomon-100,100,1236,1
SA-Boltzmann,250.0,0.24144610005896538,True,10,1218.2405126253511,26.47,False,,c106,Solomon-100,100,1236,2
SA-Boltzmann,230.0,0.23183419997803867,True,7,1182.5687760398168,32.35,False,,c106,Solomon-100,100,1236,3
SA-Boltzmann,230.0,0.2215891000814736,True,7,1182.5687760398168,32.35,False,,c106,Solomon-100,100,1236,4
SA-Cauchy,280.0,0.24688490002881736,True,10,1190.7064583986883,17.65,False,,c106,Solomon-100,100,1236,0
SA-Cauchy,240.0,0.23817739996593446,True,8,1193.7011682208197,29.41,False,,c106,Solomon-100,100,1236,1
SA-Cauchy,250.0,0.26505390007514507,True,8,1182.5687760398168,26.47,False,,c106,Solomon-100,100,1236,2
SA-Cauchy,240.0,0.2590020999778062,True,11,1220.485806003486,29.41,False,,c106,Solomon-100,100,1236,3
SA-Cauchy,250.0,0.2258219999494031,True,10,1156.8297935867756,26.47,False,,c106,Solomon-100,100,1236,4
Tabu,300.0,2.6083127999445423,True,8,981.5241592159947,11.76,False,,c106,Solomon-100,100,1236,0
Tabu-Random,320.0,2.851172999944538,True,9,1059.4208775726531,5.88,False,,c106,Solomon-100,100,1236,0
Tabu-Random,320.0,2.635306500014849,True,9,1059.4208775726531,5.88,False,,c106,Solomon-100,100,1236,1
Tabu-Random,320.0,2.651700900052674,True,9,1071.7200193887484,5.88,False,,c106,Solomon-100,100,1236,2
Tabu-Random,260.0,2.4516648000571877,True,7,969.2250173998996,23.53,False,,c106,Solomon-100,100,1236,3
GRASP,330.0,18.99396400002297,True,10,1185.1782653116281,2.94,False,,c106,Solomon-100,100,1236,4
Tabu-Random,320.0,2.6363239000784233,True,9,1059.4208775726531,5.88,False,,c106,Solomon-100,100,1236,4
Genetic-Score,340.0,71.96651240007486,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,0
Genetic-Tailored,330.0,14.068839199957438,True,10,1185.1782653116281,2.94,False,,c106,Solomon-100,100,1236,1
Genetic-Score,340.0,72.85569720005151,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,3
Genetic-Score,340.0,77.75603719998617,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,1
Genetic-Tailored,320.0,12.809261100017466,True,10,1145.091570569841,5.88,False,,c106,Solomon-100,100,1236,2
Genetic-Tailored,340.0,18.00751950009726,True,10,1145.3741801682213,0.0,False,,c106,Solomon-100,100,1236,0
Genetic-Score,340.0,77.8149688000558,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,2
Genetic-Score,340.0,76.26898190006614,True,10,1158.8263414715786,0.0,False,,c105,Solomon-100,100,1236,4
Genetic-Tailored,340.0,13.768882200005464,True,10,1143.0584392242858,0.0,False,,c106,Solomon-100,100,1236,3
Greedy-Ratio,190.0,0.029534599976614118,True,9,1181.3323896396305,48.65,False,,c107,Solomon-100,100,1236,0
Greedy-Score,240.0,0.038568800082430243,True,7,1174.5687760398168,35.14,False,,c107,Solomon-100,100,1236,0
Greedy-Random,100.0,0.008290000027045608,True,5,1211.1678290474479,72.97,False,,c107,Solomon-100,100,1236,0
Greedy-Random,80.0,0.00824380002450198,True,6,1191.2950072120311,78.38,False,,c107,Solomon-100,100,1236,1
Greedy-Random,50.0,0.007057099952362478,True,4,1144.02775637732,86.49,False,,c107,Solomon-100,100,1236,2
Greedy-Random,70.0,0.008296600077301264,True,5,1144.02775637732,81.08,False,,c107,Solomon-100,100,1236,3
Greedy-Random,80.0,0.011442300048656762,True,6,1174.2932675999753,78.38,False,,c107,Solomon-100,100,1236,4
Genetic-Score,410.0,121.35730709997006,True,11,1223.6769192511726,2.38,False,,c104,Solomon-100,100,1236,4
Genetic-Score,400.0,141.85368130006827,True,10,1191.274716484396,4.76,False,,c104,Solomon-100,100,1236,1
Genetic-Tailored,340.0,21.766045299940743,True,10,1175.135946234837,0.0,False,,c106,Solomon-100,100,1236,4
GRASP,350.0,19.974485100014135,True,11,1218.3500688118752,5.41,False,,c107,Solomon-100,100,1236,1
GRASP,350.0,20.428670599940233,True,11,1217.638552348551,5.41,False,,c107,Solomon-100,100,1236,0
SA-Boltzmann,240.0,0.23469670000486076,True,7,1174.5687760398168,35.14,False,,c107,Solomon-100,100,1236,0
SA-Boltzmann,240.0,0.2146606999449432,True,7,1174.5687760398168,35.14,False,,c107,Solomon-100,100,1236,1
SA-Boltzmann,240.0,0.22184849996119738,True,7,1174.5687760398168,35.14,False,,c107,Solomon-100,100,1236,2
SA-Boltzmann,260.0,0.20910849992651492,True,8,1174.5687760398168,29.73,False,,c107,Solomon-100,100,1236,3
SA-Boltzmann,240.0,0.20088869996834546,True,7,1174.5687760398168,35.14,False,,c107,Solomon-100,100,1236,4
SA-Cauchy,260.0,0.24110630003269762,True,9,1205.832001641049,29.73,False,,c107,Solomon-100,100,1236,0
SA-Cauchy,300.0,0.23798380000516772,True,10,1227.5517687379688,18.92,False,,c107,Solomon-100,100,1236,1
SA-Cauchy,280.0,0.2219091000733897,True,9,1182.7086570547026,24.32,False,,c107,Solomon-100,100,1236,2
SA-Cauchy,270.0,0.20031580002978444,True,8,1075.9564643823219,27.03,False,,c107,Solomon-100,100,1236,3
SA-Cauchy,280.0,0.22090890002436936,True,10,1231.4350355916326,24.32,False,,c107,Solomon-100,100,1236,4
Tabu,330.0,2.5386339999968186,True,9,1048.8113883008418,10.81,False,,c107,Solomon-100,100,1236,0
