solver,score,time_s,valid,landmarks_visited,total_duration,optimality_gap_pct,error,instance,group,n_landmarks,time_budget,run_id,timed_out
Tabu-Random,180.0,0.6797482999972999,True,8,233.88140213389795,0.0,,rc101,Solomon-50,50,240,0,False
Tabu-Random,180.0,0.7421130999864545,True,7,208.12658056650537,0.0,,rc101,Solomon-50,50,240,1,False
Genetic-Tailored,270.0,11.242391799984034,True,10,1154.7573645086422,0.0,,c101,Solomon-50,50,1236,2,False
GRASP,180.0,4.3613524999818765,True,8,216.24992999497522,0.0,,rc101,Solomon-50,50,240,3,False
Tabu-Random,170.0,0.6790509999846108,True,7,216.2865690108165,5.56,,rc101,Solomon-50,50,240,2,False
GRASP,180.0,4.36678579999716,True,8,236.4410956249874,0.0,,rc101,Solomon-50,50,240,4,False
Tabu-Random,180.0,0.6657852999924216,True,8,236.4410956249874,0.0,,rc101,Solomon-50,50,240,3,False
Tabu-Random,180.0,0.6685155000013765,True,8,233.88140213389795,0.0,,rc101,Solomon-50,50,240,4,False
Genetic-Tailored,170.0,4.363018000003649,True,7,216.2865690108165,5.56,,rc101,Solomon-50,50,240,2,False
Genetic-Tailored,180.0,4.712259499996435,True,7,208.12658056650537,0.0,,rc101,Solomon-50,50,240,1,False
Genetic-Tailored,180.0,4.5685829000140075,True,7,208.12658056650537,0.0,,rc101,Solomon-50,50,240,4,False
Genetic-Tailored,180.0,5.126501599996118,True,9,207.26099512531084,0.0,,rc101,Solomon-50,50,240,0,False
Genetic-Tailored,180.0,5.058135900006164,True,7,208.12658056650537,0.0,,rc101,Solomon-50,50,240,3,False
Greedy,72.0,0.0030291999864857644,True,4,170.18033988749895,54.72,,r105,Solomon-50,50,230,0,False
GRASP,142.0,0.9199716000002809,True,5,215.50757653170774,10.69,,r105,Solomon-50,50,230,0,False
GRASP,142.0,0.8750423000019509,True,5,215.50757653170774,10.69,,r105,Solomon-50,50,230,1,False
GRASP,142.0,0.9187979999987874,True,5,215.50757653170774,10.69,,r105,Solomon-50,50,230,2,False
GRASP,142.0,0.8523205000092275,True,5,215.50757653170774,10.69,,r105,Solomon-50,50,230,3,False
GRASP,142.0,0.8856673999980558,True,5,215.50757653170774,10.69,,r105,Solomon-50,50,230,4,False
SA-Boltzmann,68.0,0.08661070000380278,True,3,198.3635071984536,57.23,,r105,Solomon-50,50,230,0,False
SA-Boltzmann,101.0,0.0977963000186719,True,5,181.76345335395985,36.48,,r105,Solomon-50,50,230,1,False
SA-Boltzmann,117.0,0.0927947000018321,True,5,217.29125788406813,26.42,,r105,Solomon-50,50,230,2,False
SA-Boltzmann,97.0,0.10538690001703799,True,6,225.9474865943896,38.99,,r105,Solomon-50,50,230,3,False
SA-Boltzmann,83.0,0.10047780000604689,True,5,204.79187892079815,47.8,,r105,Solomon-50,50,230,4,False
SA-Cauchy,109.0,0.10920910001732409,True,6,216.20998326626523,31.45,,r105,Solomon-50,50,230,0,False
SA-Cauchy,81.0,0.10736069999984466,True,3,206.88934412133736,49.06,,r105,Solomon-50,50,230,1,False
SA-Cauchy,116.0,0.1067341000016313,True,6,197.42455685897153,27.04,,r105,Solomon-50,50,230,2,False
SA-Cauchy,97.0,0.10550679999869317,True,3,192.8028775489157,38.99,,r105,Solomon-50,50,230,3,False
SA-Cauchy,135.0,0.12015200001769699,True,6,216.597786096832,15.09,,r105,Solomon-50,50,230,4,False
Tabu,159.0,0.6745232000248507,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,0,False
Tabu-Random,159.0,0.7086071000085212,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,0,False
Tabu-Random,159.0,0.687942100019427,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,1,False
Tabu-Random,149.0,0.7149219999846537,True,6,214.20224039438932,6.29,,r105,Solomon-50,50,230,2,False
Tabu-Random,159.0,0.7172856999968644,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,3,False
Tabu-Random,159.0,0.716049100010423,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,4,False
Genetic-Tailored,159.0,4.009282099985285,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,0,False
Genetic-Tailored,159.0,4.0229683999787085,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,1,False
Genetic-Tailored,155.0,4.467370899976231,True,7,209.90138523881836,2.52,,r105,Solomon-50,50,230,2,False
Genetic-Tailored,159.0,4.097682599996915,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,3,False
Genetic-Tailored,159.0,3.992214400001103,True,6,215.65266771768856,0.0,,r105,Solomon-50,50,230,4,False
Genetic-Score,665.0,173.30600199999753,False,47,235.55955625723408,0.0,,r101,Solomon-50,50,230,4,False
Genetic-Score,860.0,185.75328410000657,False,50,1184.3884361523178,0.0,,c101,Solomon-50,50,1236,0,False
Genetic-Score,691.0,220.186990599992,False,48,232.32926849819225,0.0,,r101,Solomon-50,50,230,1,True
Genetic-Score,860.0,230.2933830000111,False,50,1182.6432845054082,0.0,,c101,Solomon-50,50,1236,3,True
Genetic-Score,860.0,245.8395004000049,False,50,1212.2771344829243,0.0,,c101,Solomon-50,50,1236,2,True
Greedy,100.0,0.004973200004315004,True,5,1226.2093727122985,64.29,,c106,Solomon-50,50,1236,0,False
GRASP,280.0,5.962556599988602,True,10,1161.5504094387072,0.0,,c106,Solomon-50,50,1236,0,False
GRASP,280.0,6.065457899996545,True,10,1161.5504094387072,0.0,,c106,Solomon-50,50,1236,1,False
GRASP,280.0,5.8923503999831155,True,10,1160.2515503351049,0.0,,c106,Solomon-50,50,1236,2,False
Genetic-Score,970.0,251.97710990000633,False,50,282.1627514541611,0.0,,rc101,Solomon-50,50,240,4,True
Genetic-Score,675.0,273.9920329999877,False,48,228.68151676531008,0.0,,r101,Solomon-50,50,230,0,True
SA-Boltzmann,190.0,0.12419790000421926,True,9,1143.983159172199,32.14,,c106,Solomon-50,50,1236,0,False
SA-Boltzmann,190.0,0.1293063000193797,True,6,1029.6287880549055,32.14,,c106,Solomon-50,50,1236,1,False
SA-Boltzmann,200.0,0.13276670000050217,True,10,1217.1491787638613,28.57,,c106,Solomon-50,50,1236,2,False
SA-Boltzmann,180.0,0.13557150002452545,True,6,1144.45850540504,35.71,,c106,Solomon-50,50,1236,3,False
SA-Boltzmann,180.0,0.12552810000488535,True,6,1144.45850540504,35.71,,c106,Solomon-50,50,1236,4,False
SA-Cauchy,240.0,0.12088240002049133,True,9,1145.7573645086422,14.29,,c106,Solomon-50,50,1236,0,False
SA-Cauchy,200.0,0.17110549999051727,True,7,1144.45850540504,28.57,,c106,Solomon-50,50,1236,1,False
SA-Cauchy,210.0,0.13531840001815,True,10,1180.9598063391275,25.0,,c106,Solomon-50,50,1236,2,False
SA-Cauchy,200.0,0.14509810000890866,True,10,1202.0283348035819,28.57,,c106,Solomon-50,50,1236,3,False
SA-Cauchy,190.0,0.13386570001603104,True,10,1145.7201004140145,32.14,,c106,Solomon-50,50,1236,4,False
Tabu,260.0,0.9424948999949265,True,9,1052.3448711656888,7.14,,c106,Solomon-50,50,1236,0,False
GRASP,280.0,5.856651500012958,True,10,1161.5504094387072,0.0,,c106,Solomon-50,50,1236,3,False
Tabu-Random,260.0,0.940106800000649,True,9,1158.0027145542326,7.14,,c106,Solomon-50,50,1236,0,False
Tabu-Random,260.0,0.9555427000159398,True,9,1052.3448711656888,7.14,,c106,Solomon-50,50,1236,1,False
Tabu-Random,260.0,0.9528110999963246,True,9,1043.1729972040982,7.14,,c106,Solomon-50,50,1236,2,False
Tabu-Random,270.0,0.8815022000053432,True,9,1045.4218329849705,3.57,,c106,Solomon-50,50,1236,3,False
GRASP,280.0,6.206517999991775,True,10,1160.2515503351049,0.0,,c106,Solomon-50,50,1236,4,False
Tabu-Random,260.0,0.9090770999900997,True,9,1052.3448711656888,7.14,,c106,Solomon-50,50,1236,4,False
Genetic-Tailored,280.0,6.87231539998902,True,11,1232.3048145772289,0.0,,c106,Solomon-50,50,1236,0,False
Genetic-Tailored,280.0,6.4818223000038415,True,11,1232.3048145772289,0.0,,c106,Solomon-50,50,1236,1,False
Genetic-Tailored,280.0,6.240554899995914,True,10,1160.2515503351049,0.0,,c106,Solomon-50,50,1236,2,False
Genetic-Tailored,280.0,6.473389500024496,True,10,1160.2515503351049,0.0,,c106,Solomon-50,50,1236,4,False
Genetic-Tailored,280.0,6.71315590001177,True,11,1232.3048145772289,0.0,,c106,Solomon-50,50,1236,3,False
Genetic-Score,681.0,335.3961263000092,False,47,255.60439267869202,0.0,,r101,Solomon-50,50,230,3,True
Genetic-Score,970.0,335.7373763000069,False,50,265.11357938312756,0.0,,rc101,Solomon-50,50,240,2,True
Genetic-Score,698.0,318.9415339999832,False,49,212.03657379166413,0.0,,r105,Solomon-50,50,230,0,True
Genetic-Score,970.0,363.8308803999971,False,50,289.86514012286693,0.0,,rc101,Solomon-50,50,240,0,True
Genetic-Score,860.0,107.84529999998631,False,50,1038.1980390271856,0.0,,c106,Solomon-50,50,1236,1,False
Genetic-Score,688.0,421.2692507999891,False,48,222.9003586140866,0.0,,r101,Solomon-50,50,230,2,True
Genetic-Score,970.0,428.5622774999938,False,50,268.7735086887418,0.0,,rc101,Solomon-50,50,240,1,True
Genetic-Score,970.0,430.2336212999944,False,50,255.82323774245668,0.0,,rc101,Solomon-50,50,240,3,True
Genetic-Score,860.0,178.65941690001637,False,50,1043.4720492139306,0.0,,c106,Solomon-50,50,1236,0,False
Genetic-Score,721.0,277.3199444000202,False,50,216.95009235473248,0.0,,r105,Solomon-50,50,230,2,True
Genetic-Score,860.0,465.1242988999875,False,50,1183.2173764777372,0.0,,c101,Solomon-50,50,1236,1,True
Genetic-Score,860.0,138.67659229997662,False,50,1057.98986987644,0.0,,c106,Solomon-50,50,1236,3,False
Genetic-Score,721.0,239.305234200001,False,50,222.03590853735565,0.0,,r105,Solomon-50,50,230,4,True
Genetic-Score,721.0,260.7772336000053,False,50,218.68151676531008,0.0,,r105,Solomon-50,50,230,3,True
Genetic-Score,860.0,488.9964386000065,False,50,1203.7889824129622,0.0,,c101,Solomon-50,50,1236,4,True
Genetic-Score,721.0,328.9587975999748,False,50,202.632303776616,0.0,,r105,Solomon-50,50,230,1,True
Genetic-Score,860.0,147.10222860000795,False,50,1060.691252011432,0.0,,c106,Solomon-50,50,1236,4,False
Genetic-Score,860.0,234.5589014000143,False,50,1023.1980390271856,0.0,,c106,Solomon-50,50,1236,2,True
